id,longitude,latitude,date
FRA 53,30°22.23'W,08°00.05'S,2020-11-21
FRA 27,30°34.84'W,06°06.16'S,2020-11-21
FRA 30,30°22.33'W,05°14.48'S,2020-11-21
FRA 49,30°24.30'W,05°14.67'S,2020-11-21
SUI 7,30°00.96'W,04°16.46'S,2020-11-21
FRA 92,30°06.40'W,00°09.04'S,2020-11-21
ESP 33,27°34.54'W,06°14.09'N,2020-11-21
GBR 777,28°55.66'W,06°00.37'N,2020-11-21
FRA 14,28°43.91'W,06°14.06'N,2020-11-21
FRA 71,28°13.35'W,06°56.66'N,2020-11-21
FRA 72,27°33.39'W,12°36.20'N,2020-11-21
FRA 50,27°44.87'W,12°36.91'N,2020-11-21
FIN 222,27°27.95'W,13°00.70'N,2020-11-21
FRA 83,27°30.81'W,13°03.29'N,2020-11-21
FRA 56,28°59.54'W,13°24.52'N,2020-11-21
JPN 11,27°11.86'W,15°59.17'N,2020-11-21
FRA 8,19°01.42'W,31°20.21'N,2020-11-21
FRA 59,23°45.61'W,26°20.16'S,2020-11-22
FRA 79,24°23.42'W,26°16.97'S,2020-11-22
GBR 99,26°59.28'W,25°06.69'S,2020-11-22
FRA 01,25°38.25'W,21°57.36'S,2020-11-22
FRA 85,28°02.94'W,23°12.45'S,2020-11-22
MON 10,28°30.70'W,22°40.07'S,2020-11-22
FRA 17,27°57.34'W,21°58.28'S,2020-11-22
FRA 4,29°27.53'W,22°54.16'S,2020-11-22
FRA 18,29°40.96'W,23°04.11'S,2020-11-22
FRA 109,29°36.98'W,21°53.91'S,2020-11-22
FRA 09,28°57.32'W,17°02.39'S,2020-11-22
FRA 1000,29°55.57'W,17°11.24'S,2020-11-22
ITA 34,30°56.79'W,17°43.42'S,2020-11-22
FRA 53,29°51.83'W,13°31.32'S,2020-11-22
FRA 27,30°06.91'W,12°51.99'S,2020-11-22
FRA 30,30°01.87'W,10°43.85'S,2020-11-22
FRA 49,30°13.30'W,10°37.23'S,2020-11-22
SUI 7,30°29.83'W,09°59.47'S,2020-11-22
FRA 92,30°38.93'W,05°14.40'S,2020-11-22
GBR 777,29°09.24'W,03°38.96'N,2020-11-22
ESP 33,28°13.94'W,03°51.90'N,2020-11-22
FRA 14,29°02.19'W,03°53.18'N,2020-11-22
FRA 71,28°58.90'W,04°25.76'N,2020-11-22
FRA 72,27°14.18'W,08°44.43'N,2020-11-22
FRA 83,27°50.29'W,08°41.70'N,2020-11-22
FRA 50,28°14.53'W,08°57.47'N,2020-11-22
FIN 222,27°30.85'W,09°19.78'N,2020-11-22
FRA 56,29°06.63'W,09°03.15'N,2020-11-22
JPN 11,29°10.68'W,13°59.64'N,2020-11-22
FRA 8,19°48.14'W,25°44.05'N,2020-11-22
FRA 79,21°00.52'W,29°50.98'S,2020-11-23
FRA 59,21°29.63'W,29°38.17'S,2020-11-23
FRA 01,23°20.15'W,25°36.23'S,2020-11-23
FRA 85,24°43.80'W,26°14.68'S,2020-11-23
GBR 99,26°06.02'W,26°06.47'S,2020-11-23
MON 10,25°32.58'W,25°26.39'S,2020-11-23
FRA 17,25°25.21'W,25°13.01'S,2020-11-23
FRA 18,26°44.58'W,26°06.65'S,2020-11-23
FRA 4,26°36.64'W,25°20.37'S,2020-11-23
FRA 109,27°18.42'W,24°56.05'S,2020-11-23
FRA 09,28°12.96'W,21°36.20'S,2020-11-23
FRA 1000,28°46.90'W,21°25.49'S,2020-11-23
ITA 34,29°17.75'W,21°38.05'S,2020-11-23
FRA 53,28°46.89'W,18°01.38'S,2020-11-23
FRA 27,28°48.62'W,17°33.62'S,2020-11-23
FRA 30,29°57.02'W,16°07.59'S,2020-11-23
FRA 49,30°25.58'W,15°45.55'S,2020-11-23
SUI 7,30°36.25'W,15°09.48'S,2020-11-23
FRA 92,30°41.72'W,10°11.33'S,2020-11-23
GBR 777,30°18.61'W,00°12.32'S,2020-11-23
ESP 33,29°22.04'W,00°15.83'N,2020-11-23
FRA 14,30°23.65'W,00°00.31'N,2020-11-23
FRA 71,30°11.46'W,00°46.25'N,2020-11-23
